TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       11965.00000        9.38974
TAB:  Serbia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Serbia Confirmed cc1=  .962811 cc2=  .584846 lx=  7.83974 if=  45 il=  51 3/13/2020  n=   6 now=   11965 end=       2539        35       221 U=     9.93 T=   65.4 p1= -78.8 p2=   471.2 ed=    88 4/19/2020   x1=  45. x2=  51. y1=  2.06 y2=  1.45     
GP: Confirmed Serbia 3/13/2020        51   11965     2539      35      221     1    88 4/19/2020 
AAA1     1 Serbia Confirmed cc1=  .984433 cc2=  .576185 lx=  5.50974 if=  46 il=  51 3/13/2020  n=   5 now=   11965 end=        247        35       221 U=     4.82 T=   54.2 p1= -97.9 p2=  4844.1 ed=    65 3/27/2020   x1=  46. x2=  51. y1=  1.71 y2=   .67 BEST
AAA2     1 Serbia Confirmed cc1=  .984433 cc2=  .576185 lx=  5.50774 if=  46 il=  51 3/13/2020  n=   5 now=   11965 end=        247        35       221 U=     4.82 T=   54.2 p1= -97.9 p2=  4844.1 ed=    65 3/27/2020   x1=  46. x2=  51. y1=  1.71 y2=   .67 BEST
GP: Confirmed Serbia 3/13/2020        51   11965      247      35      221     1    65 3/27/2020 
AAA2     1 Serbia Confirmed cc1=  .955845 cc2=  .622512 lx=  8.61974 if=  44 il=  52 3/14/2020  n=   8 now=   11965 end=       5539        46       207 U=    13.62 T=   73.3 p1= -53.7 p2=   216.0 ed=   105 5/6/2020    x1=  44. x2=  52. y1=  2.15 y2=  1.57     
GP: Confirmed Serbia 3/14/2020        52   11965     5539      46      207     2   105 5/6/2020  
AAA2     1 Serbia Confirmed cc1=  .974625 cc2=  .621072 lx=  6.08974 if=  45 il=  52 3/14/2020  n=   7 now=   11965 end=        441        46       207 U=     7.07 T=   57.8 p1= -96.3 p2=  2713.2 ed=    74 4/5/2020    x1=  45. x2=  52. y1=  1.81 y2=   .82     
GP: Confirmed Serbia 3/14/2020        52   11965      441      46      207     2    74 4/5/2020  
AAA1     1 Serbia Confirmed cc1=  .989587 cc2=  .611623 lx=  5.38974 if=  46 il=  52 3/14/2020  n=   6 now=   11965 end=        219        46       207 U=     4.84 T=   54.2 p1= -98.2 p2=  5463.5 ed=    65 3/27/2020   x1=  46. x2=  52. y1=  1.68 y2=   .45 BEST
AAA2     1 Serbia Confirmed cc1=  .989727 cc2=  .611623 lx=  5.28974 if=  46 il=  52 3/14/2020  n=   6 now=   11965 end=        219        46       207 U=     4.84 T=   54.2 p1= -98.2 p2=  5463.5 ed=    65 3/27/2020   x1=  46. x2=  52. y1=  1.68 y2=   .45 BEST
GP: Confirmed Serbia 3/14/2020        52   11965      219      46      207     2    65 3/27/2020 
AAA1     1 Serbia Confirmed cc1=  .993388 cc2=  .585139 lx=  5.38974 if=  47 il=  52 3/14/2020  n=   5 now=   11965 end=        219        46       207 U=     4.04 T=   53.8 p1= -98.2 p2=  5463.5 ed=    63 3/25/2020   x1=  47. x2=  52. y1=  1.68 y2=   .45 BEST
AAA2     1 Serbia Confirmed cc1=  .994013 cc2=  .585139 lx=  5.28974 if=  47 il=  52 3/14/2020  n=   5 now=   11965 end=        219        46       207 U=     4.04 T=   53.8 p1= -98.2 p2=  5463.5 ed=    63 3/25/2020   x1=  47. x2=  52. y1=  1.68 y2=   .45 BEST
GP: Confirmed Serbia 3/14/2020        52   11965      219      46      207     2    63 3/25/2020 
AAA2     1 Serbia Confirmed cc1=  .964011 cc2=  .647783 lx=  5.84974 if=  44 il=  53 3/15/2020  n=   9 now=   11965 end=        347        48       219 U=     8.30 T=   58.7 p1= -97.1 p2=  3448.1 ed=    78 4/9/2020    x1=  44. x2=  53. y1=  1.77 y2=   .68     
GP: Confirmed Serbia 3/15/2020        53   11965      347      48      219     4    78 4/9/2020  
AAA1     1 Serbia Confirmed cc1=  .977377 cc2=  .644044 lx=  5.38974 if=  45 il=  53 3/15/2020  n=   8 now=   11965 end=        219        48       219 U=     6.32 T=   55.6 p1= -98.2 p2=  5463.5 ed=    70 4/1/2020    x1=  45. x2=  53. y1=  1.68 y2=   .42 BEST
AAA2     1 Serbia Confirmed cc1=  .977519 cc2=  .644044 lx=  5.28974 if=  45 il=  53 3/15/2020  n=   8 now=   11965 end=        219        48       219 U=     6.32 T=   55.6 p1= -98.2 p2=  5463.5 ed=    70 4/1/2020    x1=  45. x2=  53. y1=  1.68 y2=   .42 BEST
GP: Confirmed Serbia 3/15/2020        53   11965      219      48      219     4    70 4/1/2020  
AAA1     1 Serbia Confirmed cc1=  .984394 cc2=  .630840 lx=  5.38974 if=  46 il=  53 3/15/2020  n=   7 now=   11965 end=        219        48       219 U=     5.53 T=   55.3 p1= -98.2 p2=  5463.5 ed=    68 3/30/2020   x1=  46. x2=  53. y1=  1.68 y2=   .42 BEST
AAA2     1 Serbia Confirmed cc1=  .984906 cc2=  .630840 lx=  5.28974 if=  46 il=  53 3/15/2020  n=   7 now=   11965 end=        219        48       219 U=     5.53 T=   55.3 p1= -98.2 p2=  5463.5 ed=    68 3/30/2020   x1=  46. x2=  53. y1=  1.68 y2=   .42 BEST
GP: Confirmed Serbia 3/15/2020        53   11965      219      48      219     4    68 3/30/2020 
AAA1     1 Serbia Confirmed cc1=  .980521 cc2=  .602557 lx=  5.38974 if=  47 il=  53 3/15/2020  n=   6 now=   11965 end=        219        48       219 U=     4.74 T=   55.0 p1= -98.2 p2=  5463.5 ed=    66 3/28/2020   x1=  47. x2=  53. y1=  1.68 y2=   .42 BEST
AAA2     1 Serbia Confirmed cc1=  .981534 cc2=  .602557 lx=  5.28974 if=  47 il=  53 3/15/2020  n=   6 now=   11965 end=        219        48       219 U=     4.74 T=   55.0 p1= -98.2 p2=  5463.5 ed=    66 3/28/2020   x1=  47. x2=  53. y1=  1.68 y2=   .42 BEST
GP: Confirmed Serbia 3/15/2020        53   11965      219      48      219     4    66 3/28/2020 
AAA1     1 Serbia Confirmed cc1=  .980281 cc2=  .572033 lx=  5.38974 if=  48 il=  53 3/15/2020  n=   5 now=   11965 end=        219        48       219 U=     5.48 T=   55.3 p1= -98.2 p2=  5463.5 ed=    68 3/30/2020   x1=  48. x2=  53. y1=  1.33 y2=   .42 BEST
AAA2     1 Serbia Confirmed cc1=  .980867 cc2=  .572033 lx=  5.28974 if=  48 il=  53 3/15/2020  n=   5 now=   11965 end=        219        48       219 U=     5.48 T=   55.3 p1= -98.2 p2=  5463.5 ed=    68 3/30/2020   x1=  48. x2=  53. y1=  1.33 y2=   .42 BEST
GP: Confirmed Serbia 3/15/2020        53   11965      219      48      219     4    68 3/30/2020 
AAA2     1 Serbia Confirmed cc1=  .969606 cc2=  .668094 lx=  5.38974 if=  44 il=  54 3/16/2020  n=  10 now=   11965 end=        219        55         0 U=     7.35 T=   56.4 p1= -98.2 p2=  5463.5 ed=    73 4/4/2020    x1=  44. x2=  54. y1=  1.68 y2=   .32     
GP: Confirmed Serbia 3/16/2020        54   11965      219      55        0     0    73 4/4/2020  
AAA2     1 Serbia Confirmed cc1=  .977767 cc2=  .661540 lx=  5.38974 if=  45 il=  54 3/16/2020  n=   9 now=   11965 end=        219        55         0 U=     6.61 T=   56.1 p1= -98.2 p2=  5463.5 ed=    71 4/2/2020    x1=  45. x2=  54. y1=  1.68 y2=   .32     
GP: Confirmed Serbia 3/16/2020        54   11965      219      55        0     0    71 4/2/2020  
AAA2     1 Serbia Confirmed cc1=  .979348 cc2=  .646014 lx=  5.38974 if=  46 il=  54 3/16/2020  n=   8 now=   11965 end=        219        55         0 U=     5.88 T=   55.9 p1= -98.2 p2=  5463.5 ed=    69 3/31/2020   x1=  46. x2=  54. y1=  1.68 y2=   .32     
GP: Confirmed Serbia 3/16/2020        54   11965      219      55        0     0    69 3/31/2020 
AAA2     1 Serbia Confirmed cc1=  .971658 cc2=  .618104 lx=  5.38974 if=  47 il=  54 3/16/2020  n=   7 now=   11965 end=        219        55         0 U=     5.14 T=   55.7 p1= -98.2 p2=  5463.5 ed=    67 3/29/2020   x1=  47. x2=  54. y1=  1.68 y2=   .32     
GP: Confirmed Serbia 3/16/2020        54   11965      219      55        0     0    67 3/29/2020 
AAA2     1 Serbia Confirmed cc1=  .971700 cc2=  .593736 lx=  5.38974 if=  48 il=  54 3/16/2020  n=   6 now=   11965 end=        219        55         0 U=     5.96 T=   55.9 p1= -98.2 p2=  5463.5 ed=    70 4/1/2020    x1=  48. x2=  54. y1=  1.33 y2=   .32     
GP: Confirmed Serbia 3/16/2020        54   11965      219      55        0     0    70 4/1/2020  
AAA2     1 Serbia Confirmed cc1=  .962716 cc2=  .554467 lx=  5.38974 if=  49 il=  54 3/16/2020  n=   5 now=   11965 end=        219        55         0 U=     6.73 T=   56.2 p1= -98.2 p2=  5463.5 ed=    72 4/3/2020    x1=  49. x2=  54. y1=  1.07 y2=   .32     
GP: Confirmed Serbia 3/16/2020        54   11965      219      55        0     0    72 4/3/2020  
AAA2     1 Serbia Confirmed cc1=  .974038 cc2=  .685363 lx=  5.38974 if=  44 il=  55 3/17/2020  n=  11 now=   11965 end=        219        65         0 U=     7.39 T=   56.4 p1= -98.2 p2=  5463.5 ed=    73 4/4/2020    x1=  44. x2=  55. y1=  1.68 y2=   .20     
GP: Confirmed Serbia 3/17/2020        55   11965      219      65        0     0    73 4/4/2020  
AAA2     1 Serbia Confirmed cc1=  .978847 cc2=  .677336 lx=  5.38974 if=  45 il=  55 3/17/2020  n=  10 now=   11965 end=        219        65         0 U=     6.71 T=   56.3 p1= -98.2 p2=  5463.5 ed=    72 4/3/2020    x1=  45. x2=  55. y1=  1.68 y2=   .20     
GP: Confirmed Serbia 3/17/2020        55   11965      219      65        0     0    72 4/3/2020  
AAA2     1 Serbia Confirmed cc1=  .977701 cc2=  .661473 lx=  5.38974 if=  46 il=  55 3/17/2020  n=   9 now=   11965 end=        219        65         0 U=     6.04 T=   56.2 p1= -98.2 p2=  5463.5 ed=    70 4/1/2020    x1=  46. x2=  55. y1=  1.68 y2=   .20     
GP: Confirmed Serbia 3/17/2020        55   11965      219      65        0     0    70 4/1/2020  
AAA2     1 Serbia Confirmed cc1=  .969456 cc2=  .636122 lx=  5.38974 if=  47 il=  55 3/17/2020  n=   8 now=   11965 end=        219        65         0 U=     5.37 T=   56.0 p1= -98.2 p2=  5463.5 ed=    68 3/30/2020   x1=  47. x2=  55. y1=  1.68 y2=   .20     
GP: Confirmed Serbia 3/17/2020        55   11965      219      65        0     0    68 3/30/2020 
AAA2     1 Serbia Confirmed cc1=  .972061 cc2=  .618508 lx=  5.38974 if=  48 il=  55 3/17/2020  n=   7 now=   11965 end=        219        65         0 U=     6.17 T=   56.2 p1= -98.2 p2=  5463.5 ed=    70 4/1/2020    x1=  48. x2=  55. y1=  1.33 y2=   .20     
GP: Confirmed Serbia 3/17/2020        55   11965      219      65        0     0    70 4/1/2020  
AAA2     1 Serbia Confirmed cc1=  .968233 cc2=  .590269 lx=  5.38974 if=  49 il=  55 3/17/2020  n=   6 now=   11965 end=        219        65         0 U=     6.89 T=   56.3 p1= -98.2 p2=  5463.5 ed=    72 4/3/2020    x1=  49. x2=  55. y1=  1.07 y2=   .20     
GP: Confirmed Serbia 3/17/2020        55   11965      219      65        0     0    72 4/3/2020  
AAA2     1 Serbia Confirmed cc1=  .956823 cc2=  .548575 lx=  5.38974 if=  50 il=  55 3/17/2020  n=   5 now=   11965 end=        219        65         0 U=     7.15 T=   56.4 p1= -98.2 p2=  5463.5 ed=    73 4/4/2020    x1=  50. x2=  55. y1=   .89 y2=   .20     
GP: Confirmed Serbia 3/17/2020        55   11965      219      65        0     0    73 4/4/2020  
AAA1     1 Serbia Confirmed cc1=  .979289 cc2=  .701939 lx=  5.38974 if=  44 il=  56 3/18/2020  n=  12 now=   11965 end=        219        83       221 U=     7.00 T=   55.8 p1= -98.2 p2=  5463.5 ed=    72 4/3/2020    x1=  44. x2=  56. y1=  1.68 y2=  -.03 BEST
AAA2     1 Serbia Confirmed cc1=  .979853 cc2=  .701939 lx=  5.28974 if=  44 il=  56 3/18/2020  n=  12 now=   11965 end=        219        83       221 U=     7.00 T=   55.8 p1= -98.2 p2=  5463.5 ed=    72 4/3/2020    x1=  44. x2=  56. y1=  1.68 y2=  -.03 BEST
GP: Confirmed Serbia 3/18/2020        56   11965      219      83      221     7    72 4/3/2020  
AAA1     1 Serbia Confirmed cc1=  .982825 cc2=  .694150 lx=  5.38974 if=  45 il=  56 3/18/2020  n=  11 now=   11965 end=        219        83       221 U=     6.42 T=   55.8 p1= -98.2 p2=  5463.5 ed=    70 4/1/2020    x1=  45. x2=  56. y1=  1.68 y2=  -.03 BEST
AAA2     1 Serbia Confirmed cc1=  .983813 cc2=  .694150 lx=  5.28974 if=  45 il=  56 3/18/2020  n=  11 now=   11965 end=        219        83       221 U=     6.42 T=   55.8 p1= -98.2 p2=  5463.5 ed=    70 4/1/2020    x1=  45. x2=  56. y1=  1.68 y2=  -.03 BEST
GP: Confirmed Serbia 3/18/2020        56   11965      219      83      221     7    70 4/1/2020  
AAA1     1 Serbia Confirmed cc1=  .981491 cc2=  .679980 lx=  5.38974 if=  46 il=  56 3/18/2020  n=  10 now=   11965 end=        219        83       221 U=     5.83 T=   55.8 p1= -98.2 p2=  5463.5 ed=    69 3/31/2020   x1=  46. x2=  56. y1=  1.68 y2=  -.03 BEST
AAA2     1 Serbia Confirmed cc1=  .983011 cc2=  .679980 lx=  5.28974 if=  46 il=  56 3/18/2020  n=  10 now=   11965 end=        219        83       221 U=     5.83 T=   55.8 p1= -98.2 p2=  5463.5 ed=    69 3/31/2020   x1=  46. x2=  56. y1=  1.68 y2=  -.03 BEST
GP: Confirmed Serbia 3/18/2020        56   11965      219      83      221     7    69 3/31/2020 
AAA1     1 Serbia Confirmed cc1=  .975268 cc2=  .659040 lx=  5.38974 if=  47 il=  56 3/18/2020  n=   9 now=   11965 end=        219        83       221 U=     5.25 T=   55.8 p1= -98.2 p2=  5463.5 ed=    68 3/30/2020   x1=  47. x2=  56. y1=  1.68 y2=  -.03 BEST
AAA2     1 Serbia Confirmed cc1=  .977343 cc2=  .659040 lx=  5.28974 if=  47 il=  56 3/18/2020  n=   9 now=   11965 end=        219        83       221 U=     5.25 T=   55.8 p1= -98.2 p2=  5463.5 ed=    68 3/30/2020   x1=  47. x2=  56. y1=  1.68 y2=  -.03 BEST
GP: Confirmed Serbia 3/18/2020        56   11965      219      83      221     7    68 3/30/2020 
AAA1     1 Serbia Confirmed cc1=  .979781 cc2=  .646448 lx=  5.38974 if=  48 il=  56 3/18/2020  n=   8 now=   11965 end=        219        83       221 U=     5.89 T=   55.8 p1= -98.2 p2=  5463.5 ed=    69 3/31/2020   x1=  48. x2=  56. y1=  1.33 y2=  -.03 BEST
AAA2     1 Serbia Confirmed cc1=  .981169 cc2=  .646448 lx=  5.28974 if=  48 il=  56 3/18/2020  n=   8 now=   11965 end=        219        83       221 U=     5.89 T=   55.8 p1= -98.2 p2=  5463.5 ed=    69 3/31/2020   x1=  48. x2=  56. y1=  1.33 y2=  -.03 BEST
GP: Confirmed Serbia 3/18/2020        56   11965      219      83      221     7    69 3/31/2020 
